2026-03-10-09-16,447 root INFO use_lora: True
2026-03-10-09-16,448 root INFO reinit: False
2026-03-10-09-16,448 root INFO mix_anti: True
2026-03-10-09-16,448 root INFO epoch: 3
2026-03-10-09-16,448 root INFO max_unlearn_steps: 300
2026-03-10-09-16,448 root INFO beta: 0.1
2026-03-10-09-16,448 root INFO ster_weight: 0.4
2026-03-10-09-16,448 root INFO anti_weight: 0.4
2026-03-10-09-16,448 root INFO kl_weight: 0.2
2026-03-10-09-16,448 root INFO ster_batch_size: 4
2026-03-10-09-16,448 root INFO batch_size: 28
2026-03-10-09-16,448 root INFO lr: 5e-05
2026-03-10-09-16,448 root INFO max_ster_loss: 100
2026-03-10-09-16,448 root INFO model_name: openai-community/gpt2
2026-03-10-09-16,448 root INFO model_save_dir: gpt-m-new_paper
2026-03-10-09-16,448 root INFO save_every: 50
2026-03-10-09-16,448 root INFO eval_every: 30
2026-03-10-09-16,448 root INFO log_file: logs/gpt-m-new_paper.rank0.log
2026-03-10-09-16,964 root INFO name_head:
2026-03-10-09-16,965 root INFO target_modules: ['attn.c_proj', 'attn.c_attn'] 
 LoraConfig(task_type=<TaskType.CAUSAL_LM: 'CAUSAL_LM'>, peft_type=<PeftType.LORA: 'LORA'>, auto_mapping=None, peft_version='0.18.1', base_model_name_or_path=None, revision=None, inference_mode=False, r=8, target_modules={'attn.c_attn', 'attn.c_proj'}, exclude_modules=None, lora_alpha=16, lora_dropout=0.1, fan_in_fan_out=False, bias='none', use_rslora=False, modules_to_save=None, init_lora_weights=True, layers_to_transform=None, layers_pattern=None, rank_pattern={}, alpha_pattern={}, megatron_config=None, megatron_core='megatron.core', trainable_token_indices=None, loftq_config={}, eva_config=None, corda_config=None, use_dora=False, alora_invocation_tokens=None, use_qalora=False, qalora_group_size=16, layer_replication=None, runtime_config=LoraRuntimeConfig(ephemeral_gpu_offload=False), lora_bias=False, target_parameters=None, arrow_config=None, ensure_weight_tying=False)
2026-03-10-09-16,555 root INFO num_training_steps,300
2026-03-10-09-16,556 root INFO len(ster_dataloader) * args.epoch11964
2026-03-10-09-16,677 root INFO len ster_dataloader
2026-03-10-09-16,677 root INFO 3988
2026-03-10-09-16,363 root INFO batch: 0, lr: 0.00000500 ster_lm: 3.898, ster_ref_lm: 3.826, neg_log_ratio: 0.072, loss_npo(w): 5.516, anti(w): 1.761, kl(w): 1.586, total: 8.864
2026-03-10-09-16,816 root INFO batch: 1, lr: 0.00001000 ster_lm: 4.192, ster_ref_lm: 3.764, neg_log_ratio: 0.428, loss_npo(w): 5.376, anti(w): 1.869, kl(w): 1.652, total: 8.897
2026-03-10-09-16,277 root INFO batch: 2, lr: 0.00001500 ster_lm: 3.791, ster_ref_lm: 3.791, neg_log_ratio: 0.000, loss_npo(w): 5.545, anti(w): 2.028, kl(w): 1.639, total: 9.211
2026-03-10-09-16,730 root INFO batch: 3, lr: 0.00002000 ster_lm: 4.994, ster_ref_lm: 4.951, neg_log_ratio: 0.043, loss_npo(w): 5.528, anti(w): 1.646, kl(w): 1.638, total: 8.812
2026-03-10-09-16,180 root INFO batch: 4, lr: 0.00002500 ster_lm: 5.007, ster_ref_lm: 4.807, neg_log_ratio: 0.200, loss_npo(w): 5.466, anti(w): 1.652, kl(w): 1.625, total: 8.743
2026-03-10-09-16,634 root INFO batch: 5, lr: 0.00003000 ster_lm: 4.450, ster_ref_lm: 4.408, neg_log_ratio: 0.042, loss_npo(w): 5.528, anti(w): 1.786, kl(w): 1.629, total: 8.943
2026-03-10-09-16,133 root INFO batch: 6, lr: 0.00003500 ster_lm: 4.286, ster_ref_lm: 3.948, neg_log_ratio: 0.338, loss_npo(w): 5.411, anti(w): 1.900, kl(w): 1.497, total: 8.808
2026-03-10-09-16,812 root INFO batch: 7, lr: 0.00004000 ster_lm: 3.724, ster_ref_lm: 3.646, neg_log_ratio: 0.078, loss_npo(w): 5.514, anti(w): 1.827, kl(w): 1.559, total: 8.899
2026-03-10-09-16,464 root INFO batch: 8, lr: 0.00004500 ster_lm: 4.342, ster_ref_lm: 4.300, neg_log_ratio: 0.042, loss_npo(w): 5.528, anti(w): 1.604, kl(w): 1.557, total: 8.689
2026-03-10-09-16,924 root INFO batch: 9, lr: 0.00005000 ster_lm: 4.128, ster_ref_lm: 3.655, neg_log_ratio: 0.472, loss_npo(w): 5.358, anti(w): 1.785, kl(w): 1.638, total: 8.781
2026-03-10-09-16,385 root INFO batch: 10, lr: 0.00004986 ster_lm: 4.655, ster_ref_lm: 4.423, neg_log_ratio: 0.232, loss_npo(w): 5.453, anti(w): 1.899, kl(w): 1.528, total: 8.880
